"","Los.Angeles..CA","total.income","age","population","bachelor","race","perc"
"91",90404,35026,38.5,21641,"39.1%","White",51.37
"92",90405,45249,40.7,28535,"49.7%","White",67.18
"93",90501,27088,35.1,43407,"19.5%","Hispanic",43.19
"94",90502,28266,43.8,17135,"24.1%","Hispanic",34.36
"95",90504,31268,40.8,32777,"24.9%","Asian",40.34
"96",90710,24545,37.6,27550,"16.7%","Hispanic",48
"97",90717,28625,39.8,21612,"18.8%","White",38.84
"98",90731,24941,35.9,62348,"14.0%","Hispanic",52.98
"99",90732,39509,46.8,19810,"27.7%","White",56.91
"100",90744,19067,28.4,58061,"3.6%","Hispanic",89.52
"101",90745,24401,36.4,57727,"14.9%","Hispanic",43.19
"102",90802,28029,36,38816,"26.8%","Hispanic",36.92
"103",90810,20356,32.4,36736,"9.2%","Hispanic",49.95
"104",90813,16184,27.6,60017,"5.8%","Hispanic",66.77
"105",91011,60159,44.9,20671,"48.0%","White",62.49
"106",91030,47697,39.3,25914,"42.9%","White",40.8
"107",91040,31613,43,20017,"20.9%","White",61.74
"108",91042,26415,40.6,28126,"18.0%","White",57.61
"109",91105,60115,48.6,11373,"57.8%","White",59.83
"110",91201,21384,40.4,22985,"23.2%","White",69.69
"111",91204,16611,38.5,16292,"19.0%","White",43.89
"112",91205,17075,38.6,38138,"20.2%","White",58.64
"113",91206,23750,43.2,33706,"32.5%","White",65.61
"114",91214,42578,41.6,31078,"35.2%","White",57.56
"115",91302,52538,43.6,25165,"44.3%","White",77.58
"116",91303,23466,32,27827,"15.3%","Hispanic",62.35
"117",91304,25827,36.8,53517,"19.3%","Hispanic",43
"118",91306,22309,35.7,48707,"15.6%","Hispanic",49.24
"119",91307,40362,43.8,25597,"31.4%","White",62.74
"120",91311,32432,42.8,37769,"29.9%","White",51.11
"121",91316,35633,40.2,28190,"39.4%","White",71.3
"122",91321,24919,33.9,34576,"15.1%","Hispanic",46.55
"123",91324,25904,35.4,29178,"22.6%","Hispanic",39.71
"124",91325,29086,34.9,32823,"24.3%","White",40.74
"125",91326,39664,43.3,36024,"38.7%","White",48.96
"126",91330,2870,19.8,2708,"5.5%","White",33.53
"127",91331,18932,30.8,102367,"5.0%","Hispanic",87.17
"128",91335,22834,35.8,77952,"14.8%","Hispanic",53.31
"129",91340,20468,31.4,35455,"6.1%","Hispanic",90.22
"130",91342,23083,34.1,91701,"10.6%","Hispanic",75.01
"131",91343,22045,33.3,61976,"14.7%","Hispanic",60.22
"132",91344,31003,41.3,53165,"24.6%","White",46.28
"133",91345,26438,39.5,18196,"13.6%","Hispanic",66.87
"134",91352,20401,32.9,46874,"9.0%","Hispanic",71.07
"135",91356,33953,41.8,29847,"33.0%","White",67.33
"136",91364,42628,42.3,26975,"37.2%","White",70.54
"137",91367,44314,40.8,42029,"37.8%","White",66.75
"138",91371,0,0,0,"#DIV/0!","White",NA
"139",91401,23575,35.1,40503,"21.3%","Hispanic",44.4
"140",91402,18537,30.5,70781,"9.8%","Hispanic",72.52
"141",91403,42963,41.6,24353,"46.4%","White",74.76
"142",91405,19103,32.4,53406,"12.5%","Hispanic",59.48
"143",91406,22518,34.3,53528,"15.1%","Hispanic",53.9
"144",91411,22996,35,24146,"21.3%","Hispanic",50.66
"145",91423,43672,38.1,32130,"43.1%","White",70.51
"146",91436,61464,47,14563,"46.5%","White",84.32
"147",91501,28912,38.8,19829,"30.3%","White",63.56
"148",91504,33730,39.1,25544,"26.4%","White",53.93
"149",91505,40243,38,31133,"29.2%","White",57.64
"150",91506,38298,42.8,18428,"28.8%","White",55.88
"151",91601,25933,32.5,38781,"25.2%","Hispanic",41
"152",91602,39311,37.1,18315,"42.9%","White",65.6
"153",91604,53286,40.1,29072,"46.9%","White",73.69
"154",91605,18783,33.5,56060,"11.8%","Hispanic",63.3
"155",91606,20210,34.8,45467,"14.4%","Hispanic",56.34
"156",91607,30460,37.6,29591,"33.1%","White",61.64
"157",91608,0,0,0,"#DIV/0!","White",NA
"158",91754,25290,41.5,33622,"22.2%","Asian",58.18
"159",91801,24393,40.1,53792,"25.3%","Asian",53.06
"160",91803,23971,40.7,30586,"19.8%","Asian",48.77
